token,count
fapana,29
legora,29
lesa,29
tokologo,29
itlama,29
ema,29
radio,29
eme,29
kamoka,29
thoko,29
mediro,29
tšatši,29
bolaodi,29
motlatšamopresidente,29
tatago,29
diphathi,29
letlalo,29
mare,29
mošemane,29
gotee,29
moithuti,28
sekgoba,28
mafelelo,28
makatša,28
lebelela,28
molomong,28
maphodisa,28
katlego,28
taolo,28
fetiša,28
bohlola,28
ipshina,28
pedi,28
eya,28
dijo,28
church,27
tiro,27
dikolo,27
balwetši,27
dinyakwa,27
segolo,27
molodi,27
mošate,27
gabotsebotse,27
sebata,27
dipoko,27
thaba,27
gauta,27
bonago,27
hle,27
tlemile,27
ntšha,27
gahlane,27
swanelwa,27
bose,27
praebete,27
mosomoso,27
toro,27
fola,26
ena,26
ona,26
phadima,26
nyalane,26
tlogela,26
dipotšišo,26
bodikela,26
medumo,26
lesibana,26
ntshe,26
mokokotlo,26
nyakega,25
new,25
kaonafaditšwego,25
modumo,25
moemedi,25
kgokaganya,25
kgethwa,25
šetšego,25
tlale,25
mekgwa,25
lewatle,25
thekga,25
dulago,25
lengwalo,25
moriti,25
diphoofolo,25
yunibesithing,25
feditše,25
pelong,25
mararo,25
tsenago,25
direga,25
bakgathatema,25
dikobo,25
baithuti,25
beng,25
orthodox,24
catholic,24
phetha,24
baemedi,24
tlala,24
west,24
buša,24
lekanego,24
šale,24
bewa,24
nkabe,24
lebelo,24
roman,24
molaodi,24
tumelothoko,24
leratorato,24
morula,24
meago,24
mpotša,24
thogorogo,24
tlatša,24
mohlomongwe,24
maphoto,24
ela,24
molekodi,24
ne,23
šomišago,23
south,23
aowa,23
mmolai,23
ruma,23
botho,23
kwane,23
kgolwe,23
dikgato,23
betha,23
ntlabile,23
kgaruru,23
tšerego,23
gobjalo,23
magareng,23
leme,23
fihlela,23
dimemorantamo,23
sepoko,23
monyenyane,23
kgethilwego,23
amana,23
sepediša,23
šomišana,22
motseng,22
ikemišeditše,22
dithabe,22
komiti,22
moleko,22
hweditše,22
eastern,22
tšhemo,22
tšhwene,22
obamela,22
ik,22
nyakile,22
ešo,22
kgale,22
kitima,22
tumi,22
beilwe,22
mmakatša,22
moisa,22
dirišwa,22
moota,22
mogaditšong,22
kgwatha,22
madimabe,22
beno,22
mpa,22
nepo,22
rapela,22
ratego,21
bolaya,21
state,21
lebakeng,21
phatlalatšwa,21
dire,21
bega,21
bitšwa,21
legodimo,21
ngwadilego,21
bonnyane,21
bontšha,21
teng,21
bagwera,21
moletlo,21
maina,21
boditše,21
tsebego,21
tiišetša,21
therešo,21
lla,21
še,21
šomile,21
etšwa,21
bookelong,21
fihlile,21
letelele,21
khomišene,21
leboa,21
itekago,21
eletša,21
tatagwe,21
iponele,21
tlago,21
leswiswi,21
more,21
mpho,21
yešo,21
matlwana,21
letswalo,21
opela,21
kgaetšedi,21
kerekana,21
dumele,21
botšago,21
hlokago,20
north,20
free,20
york,20
sešo,20
latele,20
malao,20
lesolo,20
tšhaba,20
kotsi,20
mogala,20
leswao,20
setlankana,20
mahlong,20
rereša,20
okeditšwego,20
šireletša,20
lesogana,20
ukangwego,20
baswa,20
mpotše,20
molekane,20
fiša,20
tšamile,20
bommasepala,20
kwago,20
komišene,20
thwe,20
madimo,20
legadima,20
menagano,20
moahlodi,20
ipeilego,20
molaleng,20
sekolong,20
dibeke,20
lekaleng,20
mphetlolla,20
lukas,20
mobe,20
diphetetšo,20
kgahlego,20
phapošing,19
fularela,19
lema,19
thwego,19
nkgopotša,19
mpholo,19
mphato,19
khutšo,19
kgantšha,19
mafahla,19
llela,19
tekanyetšo,19
nyakišiša,19
lefeela,19
maaka,19
lokologilego,19
fetše,19
laelwa,19
phahla,19
mahlatse,19
sebe,19
kgathago,19
mmatswale,19
polelwana,19
gorogile,19
mafelelong,19
nthata,19
megololo,19
kaonafatšo,19
dika,19
bogadi,19
bolwetši,19
bete,19
kopanya,19
labohlano,19
sedimo,19
muši,18
british,18
balwa,18
seatla,18
hlahlilwego,18
masa,18
foša,18
leke,18
lefa,18
gahlana,18
leba,18
kopana,18
ahlama,18
mabakeng,18
manyami,18
dibouto,18
dumelelwa,18
phapoši,18
kgaoga,18
mantši,18
dikoloi,18
nwa,18
tšwe,18
šitwago,18
polokong,18
botegela,18
leeto,18
kgobokeditše,18
kgatha,18
tonyago,18
šomišetšwa,18
mela,18
hlomagana,18
eke,18
ntheola,18
boele,18
namana,18
nko,18
tlogetše,18
tumelo,18
magala,18
masogana,18
kilego,18
phatlalatša,18
mabele,18
maemong,18
nyamiša,18
tsenya,18
football,17
palo,17
maikemišetšo,17
botlalo,17
selemo,17
lekope,17
napile,17
theeletša,17
fetago,17
magolo,17
je,17
palamonwana,17
k,17
tšweleditše,17
moletlong,17
maleme,17
diatla,17
mokgonyana,17
thedi,17
malome,17
moyeng,17
mehlala,17
ditšhelete,17
išwa,17
tsebja,17
dikgaetšedi,17
dibete,17
bohle,17
kopano,17
lenaba,17
šikologe,17
swele,17
moloi,17
barutiši,17
nape,17
tlalelwa,17
sefahlego,17
rage,17
dithapo,17
moabi,17
mphe,17
thewe,17
tseleng,17
tlhwekišo,17
tebelego,17
gonnyane,17
sengwai,17
lefe,17
komangkanna,17
fihlelela,17
nyakago,16
bonolo,16
mekgatlo,16
swa,16
lemogago,16
boyena,16
nyako,16
kwe,16
borutho,16
lle,16
mathomong,16
rekiša,16
sepetlele,16
swarane,16
dimela,16
late,16
hlokega,16
tšo,16
ikgethela,16
laodišetša,16
leina,16
thabela,16
dithaba,16
elelwa,16
bjona,16
megopolo,16
feroga,16
bagolo,16
dikolong,16
lokiša,16
tlelwa,16
mae,16
repabliki,16
nthaka,16
leemo,16
ntšhithola,16
ikanaitlama,16
lebotse,16
dikgopolo,16
dipitšo,16
hlaloswa,16
mooki,16
setopo,16
lemogile,16
araba,16
phumolo,16
difahlegong,16
bašomi,16
thabang,16
gomiša,16
opile,16
monga,16
swere,16
molaotheong,16
bolawa,16
wele,16
hlama,16
matlafala,16
bosetšhaba,16
botšhotšhisi,16
tonakgolo,16
setšhabeng,16
bouto,16
magato,16
tsogego,16
ditsebe,16
boikarabelo,15
nona,15
dipelaelo,15
nakong,15
meragelo,15
batamela,15
mmatlala,15
keletšo,15
tebego,15
meoya,15
mere,15
mešunkwane,15
dule,15
ithutela,15
makaditšwe,15
poelomorago,15
tlaleletša,15
phefo,15
rerišana,15
hwile,15
tshekatsheko,15
gatelela,15
fapanego,15
lekgarebe,15
tsebagatša,15
lerapo,15
bina,15
dihlare,15
filego,15
mošito,15
boletše,15
marobalo,15
lokile,15
tšwelela,15
motswadi,15
batlatšatona,15
monagano,15
mpule,15
thomago,15
beile,15
ipetlelago,15
malwetse,15
primary,15
ratile,15
tšweletša,15
ntshwarela,15
pono,15
seno,15
ntsho,15
mpe,15
fokelwa,15
mmotšiša,15
rera,15
tekano,15
tšhoša,15
boloi,15
tlogo,15
letseka,15
mogopolong,15
lwantšha,15
tlogile,15
teteane,15
mobotse,15
dio,15
seema,15
kopanong,15
tšee,15
šomago,15
nnaena,15
karolong,15
etego,15
namela,14
hlatholla,14
mahlale,14
seriti,14
didirišwa,14
ditsebišo,14
modiro,14
letšwa,14
ingwadišitšego,14
pe,14
swane,14
khuditše,14
gogoba,14
thata,14
east,14
peleng,14
makale,14
matšatšana,14
hlalošitšwe,14
hlatswa,14
meriri,14
mebedi,14
sengwalo,14
mmitša,14
sepelelana,14
tšere,14
et,14
meela,14
gohle,14
thulano,14
mehola,14
bolelwa,14
ditshepetšo,14
gabedi,14
lefase,14
tiragatšo,14
boomo,14
polao,14
sekolo,14
monwana,14
we,14
hlahla,14
wetšwa,14
lemoša,14
tsebago,14
dikliniki,14
fapafapana,14
swaragane,14
morwana,14
bakgonyana,14
tholomedi,14
phapano,14
khuduthamaga,14
sesepediši,14
kgarebe,14
lehlasedi,14
letona,14
direla,14
matšatšikgwedi,14
bokgabo,14
mafulong,14
melaotlhakwa,14
gokarela,14
ikgethelago,14
itiwa,14
boitshwaro,14
mminoratho,14
lenaka,14
ekiša,14
wetšopele,14
sea,14
apere,14
thula,14
kgathotema,14
mong,14
roromela,14
mošomong,14
file,14
dikgomo,14
ikopanya,14
nagana,14
remile,14
kgoboketšo,14
aka,14
robetše,14
popego,13
ikgapeletša,13
sefatanaga,13
mohola,13
dibjalo,13
ngwalwe,13
molwetši,13
gopolwa,13
godingwana,13
namane,13
elwa,13
nyakegago,13
dihlaa,13
sela,13
lesome,13
malwetšana,13
moseka,13
i,13
gapeletša,13
ngwageng,13
montši,13
itira,13
fetoge,13
lesea,13
etse,13
dinao,13
kganyogo,13
bogologolo,13
diega,13
romile,13
šireleditšwe,13
kganthe,13
nyakwago,13
sepedi,13
kgopolong,13
semaka,13
nyalana,13
mogatšaka,13
bong,13
swerego,13
african,13
meno,13
boipiletšo,13
tshwanelo,13
lata,13
pebetse,13
lete,13
ditiro,13
gammogo,13
hlolosetšwe,13
bonako,13
nea,13
phamoge,13
diporokerama,13
bohlano,13
hlaloše,13
metšiša,13
ahlaahle,13
gapeletšwa,13
arabe,13
peditharong,13
mmele,13
tlogele,13
boithabišo,13
polokego,13
sware,13
holofetše,13
mmasepala,13
holofela,13
seripagare,13
thalabodiba,13
loma,13
mobose,13
rarolla,13
diragatša,13
nkotla,13
bolokegilego,13
baoki,13
dikutu,13
boledišana,13
rotoga,13
theogela,13
democratic,13
seswaro,13
ipea,13
homola,13
motswako,13
boutu,13
sefe,13
ranta,13
kabo,12
nepagale,12
sefapano,12
malokong,12
kamokgwa,12
golofatša,12
naka,12
sefero,12
tlatšwa,12
kimollo,12
bašimanyana,12
magalapa,12
badudi,12
bodika,12
tsenelago,12
lapile,12
national,12
mathatanyana,12
tsenelela,12
tshepišo,12
seba,12
therišano,12
ngwako,12
seabe,12
leotwana,12
mosepelo,12
seroto,12
fetole,12
tshepe,12
lentšu,12
selepe,12
tshepetšo,12
mabotse,12
nametše,12
lala,12
tumelelo,12
kgotsofatša,12
tšhoga,12
tafoleng,12
romela,12
robatša,12
diphiri,12
dikgoro,12
seke,12
bakgoma,12
romele,12
fo,12
poloko,12
phošo,12
fane,12
dikontraka,12
nyatša,12
maleba,12
tšokatšokišwa,12
hlabe,12
nywaga,12
amogelwa,12
rwelego,12
phethišo,12
agela,12
bogetše,12
ikanne,12
school,12
lefaseng,12
spikara,12
tšhela,12
sebakanyana,12
namile,12
etšwe,12
bokatodi,12
seloko,12
maboto,12
china,12
aperego,12
lesedi,12
itaetša,12
ditigelo,12
noka,12
tsorama,12
papa,12
dingongorego,12
mei,12
kago,12
tšohle,12
mpheleletša,12
tiile,12
mohu,12
humanago,12
mohlokomedi,12
nnošinoši,12
tshepedišong,12
lalwe,12
newa,12
ntšhoša,12
malapeng,12
hwetše,12
masea,12
makgona,11
šoro,11
theko,11
itapiša,11
ditekolo,11
hlabollwa,11
loketšego,11
toka,11
makatšago,11
tšhego,11
metsotso,11
gadikgale,11
lenala,11
kaonafalo,11
phagamego,11
ithutago,11
dirilwego,11
maitemogelo,11
akanya,11
tšhomo,11
mašaka,11
lebelelago,11
ahlola,11
bonego,11
kgatla,11
marula,11
lenyalo,11
kotofaditšwego,11
imela,11
makgopo,11
ikatološa,11
boroko,11
šupa,11
hlogong,11
manamela,11
phelago,11
dikgopelo,11
fediša,11
mmotša,11
lekgetho,11
bapala,11
mna,11
swantšha,11
mafahleng,11
motšhelo,11
belaela,11
mabu,11
sebotse,11
amogetšwe,11
letša,11
dirope,11
fetego,11
letše,11
lahlago,11
setifikeiti,11
boingwadišo,11
bakeng,11
rerwa,11
teatere,11
semelo,11
churches,11
ngwadišitšwego,11
nkile,11
hlolwa,11
diripe,11
tsenelelo,11
kgogedi,11
phatišišo,11
matšato,11
babedi,11
emelela,11
koketšo,11
setatamente,11
letseno,11
nolofatša,11
fetolago,11
seripa,11
alogago,11
medu,11
nokela,11
tšwetšopele,11
lape,11
dikile,11
dithulaganyo,11
tsema,11
šišintšwego,11
šišinya,11
metšhakelo,11
phare,11
sponono,11
mokgethwa,11
lekana,11
pitšeng,11
apea,11
betlilwe,11
baba,11
ntlenyana,11
matšatšing,11
dirwago,11
makgoba,11
tsebišago,11
hwago,11
sethogothogo,11
kgorong,11
lešilo,11
melato,11
boletšego,11
taelano,11
ntšhetšwa,11
leswiswing,11
internet,11
hloko,11
pharola,11
kgoeletšo,11
lefatša,11
seraga,11
mabitla,11
maitshwaro,11
roko,11
mojako,11
akhwi,11
melotšana,11
nakedi,11
bethabetha,11
lalwa,11
mohlankedi,11
labone,11
tlolelwa,11
šupe,11
sebešong,11
kgetho,11
histori,11
mologadi,11
makatika,11
bakopa,11
tlatše,11
gweba,11
lwa,10
matseno,10
bogolo,10
rarollwa,10
bogoši,10
batšeakarolo,10
diranta,10
fudiša,10
nyalantšhwa,10
hlalošwa,10
boleta,10
agile,10
phošolla,10
robale,10
mmontšha,10
tokollo,10
methopo,10
manamanyana,10
molora,10
mathateng,10
diregago,10
pula,10
lepanta,10
mehleng,10
mogolomonoši,10
ganne,10
theetša,10
malebana,10
boditšhaba,10
hwa,10
kemišo,10
international,10
age,10
moratiwa,10
lethari,10
eleletša,10
kaonego,10
lahlegago,10
ditefelo,10
kwagale,10
ditšhaba,10
ithuša,10
sepelela,10
šomišitše,10
swerwe,10
thušo,10
befelwa,10
hwetšwa,10
diriše,10
ditlabelo,10
fetogago,10
badiredi,10
makatše,10
mabodi,10
mohlakanelwa,10
maswanedi,10
itshepelela,10
timeletše,10
akaretšwa,10
writers,10
filwego,10
phethwa,10
lewa,10
sefala,10
pholo,10
phadimo,10
phathi,10
moswa,10
kata,10
sereti,10
central,10
wola,10
boloka,10
taelo,10
tsenywa,10
fošagetšego,10
ko,10
ewa,10
phetolo,10
bonale,10
nomoro,10
beeletšwa,10
kala,10
maserati,10
meboto,10
humana,10
mpolaya,10
ditseno,10
dimateriale,10
lebenkele,10
mmadi,10
mehlašana,10
kgorokgolo,10
terekere,10
hlakišwa,10
tshekatshekosemoya,10
bongaka,10
university,10
koloi,10
kgaphela,10
tšhabe,10
puku,10
nkhwetša,10
tagafala,10
hlamilwego,10
bogega,10
gobe,10
leetwana,10
mankgeretlana,10
mogweraka,10
ditekanyetšo,10
meaparo,10
mesepelo,10
ikgodiša,10
kgonagalo,10
filwe,10
kgahlwa,10
mohlang,10
tšwele,10
dipalo,10
tebogišo,10
rutegile,10
dinonyane,10
dikoša,10
katana,10
lebane,10
bola,10
tshedimošo,10
matsogo,10
bešo,10
kgamelo,10
baagišane,10
theilwego,10
nyalwa,10
setšo,10
pelodithata,10
bosasa,10
welago,10
party,10
moreku,10
ithekole,10
metse,10
dithulano,10
batšweletši,10
dikgomommuu,10
maphadiphadi,10
llelwe,10
ditherišano,10
ntemela,10
nkareng,10
lora,10
oanteka,10
popota,10
mehutahuta,10
latin,10
boa,10
akaretšwago,10
kgato,10
matsogwana,10
befa,10
swarwa,10
phethagatšo,10
au,10
b,10
bowa,10
tlaiša,10
ramonna,10
mmila,10
form,10
nyama,9
tona,9
megala,9
websaete,9
maake,9
letsogo,9
fihleletše,9
raloka,9
šutiša,9
mabothata,9
common,9
malaong,9
nkotsana,9
phaka,9
theraka,9
banamedi,9
kgakanego,9
leta,9
inotlelela,9
ditsebi,9
lebanego,9
hlahlo,9
ithuteng,9
buela,9
karate,9
seswantšhi,9
dikarabo,9
dinoko,9
lokišetša,9
rekišetša,9
dipheko,9
boifa,9
magae,9
oma,9
hall,9
lokelwa,9
dumeletše,9
lananeo,9
rongwa,9
sebete,9
kgalema,9
phatlalala,9
lebeletše,9
ditwatši,9
opa,9
setswalle,9
lehlakore,9
pipile,9
ngwedi,9
tlaišwa,9
lwantšhwa,9
tlogelwa,9
mmagobona,9
seso,9
makgwakgwa,9
dinepo,9
mothopo,9
seetša,9
lebone,9
lefelwe,9
semolao,9
bonana,9
ekonomi,9
matsapa,9
tsenyeletša,9
bowena,9
babina,9
noko,9
ofisi,9
ota,9
mafelo,9
motheo,9
amogelegago,9
kgotsofalago,9
kholofelo,9
iše,9
latelana,9
palelago,9
renkeng,9
batametše,9
nakwana,9
kamego,9
hlagelwa,9
seboko,9
mmu,9
diphošo,9
nne,9
tšerwego,9
bongwe,9
metšhelo,9
pefelo,9
fofa,9
dinolofatši,9
matsobane,9
moriri,9
ratana,9
hlompha,9
sešogo,9
mmino,9
mokgwanyana,9
bathuši,9
thutong,9
basepediši,9
ruta,9
lota,9
selego,9
bibele,9
dipilisi,9
thipa,9
lori,9
mosela,9
bakgomana,9
gata,9
ditokomane,9
seta,9
teta,9
eta,9
hlokomelwa,9
setsebi,9
thekgwa,9
temo,9
mbora,9
nyakana,9
bonang,9
phethe,9
lekile,9
pope,9
pata,9
matuba,9
lefaufau,9
ditsela,9
kota,9
ntšhutha,9
fedilego,9
lebile,9
dilahlwa,9
dudišitše,9
sekhwi,9
kgokong,9
tomele,9
fana,9
mm,9
selapa,9
seširo,9
lekomane,9
ehlwa,9
utswa,9
sekgekolwana,9
babinakwena,9
kgodišo,9
pelaelo,9
molaletši,9
bontšhitšwe,9
tsoša,9
ntwa,9
masakeng,9
botsebi,9
rutla,9
tšela,9
sehlageng,9
tšhomišo,9
nnawee,9
hlotlilego,9
madiba,9
pudigoroga,9
bodutu,9
felo,9
mahlwana,9
beakanya,9
bušet,9
prof,9
ntše,9
morutiši,9
lenyaga,9
mpetolla,9
manyalo,9
setho,9
segae,9
pharile,9
mmalenawana,9
mehuta,9
serapana,9
hireletšo,9
meraro,9
pala,9
motšweletši,9
moswanano,9
tlhago,9
bulwa,9
malamorena,9
digalagala,9
mererwana,9
moswana,9
lešoko,9
kgopelago,9
mašoboro,9
mathumaša,9
polokelo,9
sekgame,9
selehono,9
swanago,9
masometshela,9
kgogiša,9
feditšego,9
toropong,9
hlakodiša,9
palela,9
mantšiboa,9
gonabjale,9
nale,9
maele,8
mošireletši,8
mesong,8
mollong,8
hwetšwago,8
šome,8
omile,8
dithoto,8
potego,8
old,8
matutenyana,8
itirela,8
boithatelo,8
lelapa,8
temogo,8
seswai,8
taetšo,8
phala,8
maphefo,8
matswele,8
law,8
emaema,8
fetilego,8
dikgogo,8
boleke,8
ikemetšego,8
kgaotšo,8
fetotšwego,8
kobamelo,8
taolomolao,8
notlela,8
lefele,8
sepeditšwe,8
mapheko,8
gogago,8
boikgafo,8
sepelelanago,8
aroganego,8
tladitšwego,8
fokola,8
hlolwago,8
kahlolo,8
mantle,8
apewa,8
emeletša,8
magoro,8
molaong,8
tšešo,8
goketša,8
apare,8
hlweka,8
geno,8
ikhwetša,8
bolailwe,8
badikana,8
badilego,8
bakgopedi,8
solela,8
mmogo,8
alafe,8
madiamagolo,8
theeletšo,8
matlafatšwa,8
dithebele,8
morata,8
goroga,8
thome,8
kgethollego,8
bakang,8
tshwanele,8
boleloko,8
merreo,8
mafase,8
tswalelwa,8
gopolaseo,8
tšhomišano,8
phapošeng,8
itefeletša,8
katološwago,8
magaseterata,8
fihle,8
fepa,8
sedimoša,8
phalola,8
tatedi,8
lempo,8
kgabaganya,8
kanegelong,8
dirišetšwa,8
mekgwakgokagano,8
tlemaganego,8
hlokometše,8
tebelelo,8
lebitla,8
thulanogare,8
pipa,8
dipheta,8
robalwa,8
tlhaselo,8
swaela,8
selete,8
bokae,8
thomiše,8
otlela,8
ikopanye,8
timetšego,8
mofaladi,8
hlokofala,8
maiteko,8
fago,8
gofela,8
tonki,8
dingwalwa,8
fofo,8
sethokgweng,8
nageng,8
thea,8
segole,8
malope,8
mmalwa,8
šomana,8
arabišana,8
sale,8
mogalakwena,8
kgotsofatše,8
mapanta,8
tšhelwa,8
mebila,8
mmago,8
sega,8
thala,8
mothalo,8
itše,8
mahlano,8
rute,8
australian,8
sepele,8
sepetša,8
tlhakanelo,8
loke,8
mene,8
mpeng,8
gama,8
fetoša,8
taudi,8
hlapaola,8
foufala,8
kgethollago,8
hlake,8
tswalela,8
mekae,8
lekane,8
mogolodi,8
atiša,8
arts,8
lokologa,8
bopa,8
dinose,8
ama,8
dinaletšana,8
dintlha,8
šitlela,8
boradia,8
bobe,8
galefa,8
lebowa,8
theeditše,8
lelokong,8
pitšo,8
dinawa,8
leletša,8
lekalekana,8
kopane,8
latswa,8
ditlhalošišo,8
bolelwago,8
išago,8
matsogong,8
kaone,8
monyalo,8
mooko,8
tsee,8
hlwekilego,8
amanago,8
maseme,8
mathoko,8
nyalelana,8
mogale,8
rekišwa,8
bollago,8
kgogo,8
bagologolo,8
morena,8
mobu,8
setlamo,8
kakaretšo,8
mohlodi,8
mafsa,8
godiša,8
lefelwa,8
makgotla,8
etiša,8
ripa,8
hlahlela,8
mokgotse,8
mathapama,8
mopulana,8
moputso,8
hai,8
nkane,8
diposo,8
ditlwaelo,8
mosetsana,8
mentši,8
thopa,8
ntokolle,8
kotara,8
dithala,8
galekwe,8
pompela,8
dimolekule,8
kompase,8
mathebo,8
emela,8
kukamo,8
obaoba,8
letlakala,8
botšweletši,8
mofahloši,8
ikemišetša,8
khukhuna,8
dikholo,8
ipona,8
bogwa,8
mphokela,8
military,8
banyalani,8
ragetše,8
sentšeng,8
swarela,8
setlwaedi,8
magadi,8
temošo,8
panwa,8
tanka,8
mebele,8
maswika,8
efa,8
ikgobokeletša,8
kgahla,8
ruetšwe,8
fete,8
ditekanyo,8
tšhoganetšo,8
moyameetse,8
maswafo,8
dipitsi,8
elwego,8
kgadika,8
lotwa,8
aparelwa,8
mabenkele,8
mosegareng,8
thakgafatšang,8
lephera,8
lelekang,8
ditlhalošo,8
malebiša,8
lekola,8
bala,8
lahlelwa,8
teko,8
felela,8
hlabja,8
flat,8
theeleditše,8
bogoboga,8
sepekenyi,8
tšhologo,8
saints,8
bonwa,8
hlathollele,8
dirokolo,8
rutega,8
memo,8
omiša,8
boreledi,8
llile,8
fedišwa,8
ditlabonyane,8
maatleng,8
mmege,8
letlankgopola,8
goeletša,8
tlwaela,8
air,8
laetše,8
lemogwa,8
sebakeng,8
thaletšwego,8
swarago,8
modirong,8
mongwadiši,8
lamola,8
ngwanenyana,8
galase,8
aba,8
bapetšwa,8
pegelo,8
hlakahlakanya,8
tšwelopele,8
mose,8
nomorwe,8
lekalekane,8
dipapadi,8
